City,Cloudiness,Country,Date,Humidity,Lat,Long,MaxTemp,WindSpeed
Butaritari,80,KI,1547982731,100,3.07,172.79,83.67,11.97
Santa Maria,75,BR,1547978400,88,-29.69,-53.81,66.2,8.05
East London,40,ZA,1547978400,68,-33.02,27.91,69.8,14.99
Mataura,88,NZ,1547982736,93,-46.19,168.86,51.54,19.01
Arraial do Cabo,0,BR,1547978400,78,-22.97,-42.02,78.8,8.05
Bada,0,NG,1547982739,24,12.41,4.51,91.41,11.18
Nantucket,90,US,1547981580,100,41.28,-70.1,46.94,6.93
Ribeira Grande,40,PT,1547980200,82,38.52,-28.7,62.6,12.75
Ahipara,48,NZ,1547982742,100,-35.17,173.16,60.27,7.38
Kosh-Agach,8,RU,1547982745,61,49.99,88.66,-8.04,2.57
Progreso,0,UY,1547978400,82,-34.68,-56.22,60.8,4.7
Tilichiki,76,RU,1547982748,84,60.47,166.1,27.78,12.75
Umm Lajj,0,SA,1547982749,64,25.02,37.27,75.17,6.6
Nome,40,US,1547981700,69,30.04,-94.42,33.98,16.11
Ushuaia,40,AR,1547978400,70,-54.81,-68.31,44.6,4.7
Taoudenni,0,ML,1547982753,28,22.68,-3.98,70.53,4.7
Saint-Philippe,90,CA,1547980980,77,45.36,-73.48,-0.41,14.99
Port Elizabeth,90,US,1547981760,100,39.31,-74.98,51.44,5.82
Busselton,0,AU,1547982756,76,-33.64,115.35,78.14,15.32
Bowen,36,AU,1547982758,96,-20.01,148.25,81.06,20.47
Castro,90,CL,1547978400,100,-42.48,-73.76,51.8,6.93
Villarrica,90,CL,1547978400,100,-39.28,-72.23,53.6,2.24
Salalah,0,OM,1547981400,32,17.01,54.1,82.4,10.29
Dikson,68,RU,1547982763,89,73.51,80.55,5.91,11.52
Dabat,0,ET,1547982765,14,12.98,37.77,82.05,2.68
Goderich,0,CA,1547982766,100,43.74,-81.71,2.67,20.02
Yulara,64,AU,1547978400,15,-25.24,130.99,100.4,17.22
Avarua,75,CK,1547982000,94,-21.21,-159.78,77.0,2.24
Hobart,0,AU,1547980200,68,-42.88,147.33,68.0,8.05
Hervey Bay,80,AU,1547978400,65,-25.3,152.85,78.8,9.17
